Local,Hora,Antes,Durante,Depois
SANTA CRUZ,1,989.05,989.21675,988.1
SANTA CRUZ,4,990.2,989.55,989.2
SANTA CRUZ,5,986.1,985.6,985.2
SANTA CRUZ,7,987.45,987.7625,988.25
SANTA CRUZ,8,989.3,989.8,990.1
SANTA CRUZ,9,987.342857142857,988.473857142857,989.028571428571
SANTA CRUZ,10,987.7375,988.69375,989.0625
SANTA CRUZ,11,989.425,990.314625,989.975
SANTA CRUZ,12,989.85,990.15,989.8
SANTA CRUZ,13,989.1,988.942857142857,988.128571428571
SANTA CRUZ,14,989.071428571429,988.707142857143,987.528571428572
SANTA CRUZ,15,987.17,986.5573,985.64
SANTA CRUZ,16,987.46,986.9122,986.253333333333
SANTA CRUZ,17,986.084210526316,985.964052631579,985.821052631579
SANTA CRUZ,18,985.109523809524,984.942857142857,985.12380952381
SANTA CRUZ,19,985.253333333333,985.868866666666,986.613333333333
SANTA CRUZ,20,984.3,985.333928571429,986.3
SANTA CRUZ,21,986.12,986.87,988.2
SANTA CRUZ,22,988.025,988.7,989.3
CAICO,0,994.3,993.318,993.3
CAICO,1,992,994.033333333333,993.233333333333
CAICO,2,990.5,994.5,993.2
CAICO,3,994.2,993.8,993.4
CAICO,9,993.7,994.85,996.6
CAICO,10,990.4,993.567,993.9
CAICO,12,996.6,996.9,996.6
CAICO,14,996.4,995.8,994.6
CAICO,15,994.266666666667,993.333333333333,991.866666666667
CAICO,16,993.2875,992.4375,992.0875
CAICO,17,992.266666666667,992.35,991.616666666667
CAICO,18,990.085714285714,990.610714285714,991.3
CAICO,19,989.74,990.5567,990.93
CAICO,20,990.258333333334,991.166666666667,992.041666666667
CAICO,21,990.042105263158,991.171052631579,992.647368421052
CAICO,22,991.15,992.35,992.35
CAICO,23,991.45,993.9375,994.15
APODI,0,998.3125,999.1625,998.8875
APODI,1,997.8625,999.216625,998.225
APODI,2,999.25,999.4,998.7
APODI,3,999.28,998.89,998.52
APODI,4,997.75,997.4,997.05
APODI,5,997.766666666667,997.233333333333,997.1
APODI,6,997.85,997.75,997.8
APODI,7,997.933333333334,998.533333333333,999.2
APODI,8,997.066666666667,997.55,998.266666666667
APODI,9,997.233333333333,997.277666666666,998.5
APODI,11,998.5,999.1,998.9
APODI,13,998.25,999.55,998.95
APODI,14,1001.9,1001.5,1000.5
APODI,15,998.542857142857,997.6,996.485714285714
APODI,16,999.871428571429,996.392857142857,997.314285714286
APODI,17,997.464285714286,996.5405,997.021428571429
APODI,18,995.476470588235,994.982352941176,997.123529411765
APODI,19,995.475,995.942857142857,997.692857142857
APODI,20,995.455,996.6385,997.84
APODI,21,996.042857142857,997.168380952381,998.057142857143
APODI,22,996.517647058824,997.609823529412,998.682352941176
APODI,23,996.56,998.495,998.59
NATAL,0,1008.40769230769,1009.28692307692,1008.80769230769
NATAL,1,1008.93,1009.0485,1008.5
NATAL,2,1008.27916666667,1008.29916666667,1007.5125
NATAL,3,1008.72380952381,1008.20333333333,1007.86666666667
NATAL,4,1008.1380952381,1007.64285714286,1007.19047619048
NATAL,5,1007.20740740741,1006.86555555556,1006.82962962963
NATAL,6,1007.27878787879,1007.23212121212,1007.32121212121
NATAL,7,1007.18260869565,1007.4747826087,1007.78260869565
NATAL,8,1006.98095238095,1007.75238095238,1008.34761904762
NATAL,9,1007.44418604651,1008.10813953488,1008.70697674419
NATAL,10,1007.91929824561,1008.92754385965,1009.30877192982
NATAL,11,1007.35714285714,1008.16918367347,1008.27551020408
NATAL,12,1008.753125,1009.0721875,1008.6625
NATAL,13,1008.61142857143,1008.472,1007.77428571429
NATAL,14,1009.43870967742,1008.99225806452,1008.15161290323
NATAL,15,1008.53913043478,1007.89913043478,1007.12608695652
NATAL,16,1008.37916666667,1007.6875,1007.1375
NATAL,17,1007.02173913044,1006.63608695652,1006.5652173913
NATAL,18,1006.715,1006.774,1006.855
NATAL,19,1006.22666666667,1006.602,1007.06666666667
NATAL,20,1006.6652173913,1007.22260869565,1007.75217391304
NATAL,21,1007.64761904762,1008.1080952381,1008.46666666667
NATAL,22,1007.26666666667,1007.92133333333,1008.38
NATAL,23,1008.47692307692,1009.33615384615,1009.5
MOSSORO,0,1011.05,1011.90333333333,1012.13333333333
MOSSORO,1,1011.21,1011.997,1011.17
MOSSORO,2,1012.6,1012.0675,1011.025
MOSSORO,3,1011.71666666667,1011.56833333333,1011.28333333333
MOSSORO,4,1011.2,1010.96142857143,1010.78571428571
MOSSORO,5,1010.2,1010.54555555556,1010.95555555556
MOSSORO,6,1011.43333333333,1011.43333333333,1011.7
MOSSORO,7,1011.775,1012.1025,1012.575
MOSSORO,8,1010.52,1011.054,1011.64
MOSSORO,9,1010.62,1011.978,1012.62
MOSSORO,10,1010.71428571429,1011.63857142857,1012
MOSSORO,11,1011.9,1012.775,1012.68333333333
MOSSORO,12,1012.75,1013.115,1012.45
MOSSORO,13,1012.93333333333,1012.91666666667,1012.21666666667
MOSSORO,14,1012.32222222222,1011.68555555556,1010.66666666667
MOSSORO,15,1011.25555555556,1010.38888888889,1009.45555555556
MOSSORO,16,1010.46,1009.613,1009.01
MOSSORO,17,1011.79090909091,1011.53818181818,1011.12727272727
MOSSORO,18,1010.23333333333,1010.05333333333,1010.55333333333
MOSSORO,19,1008.95454545455,1009.21818181818,1009.7
MOSSORO,20,1009.31333333333,1010.122,1010.69333333333
MOSSORO,21,1009.87777777778,1010.63888888889,1011.14444444444
MOSSORO,22,1011.6125,1012.4825,1012.775
MOSSORO,23,1011.5375,1012.3975,1012.3375
IPANGUACU,0,1011.23333333333,1012.06666666667,1012.13333333333
IPANGUACU,3,1011.45,1011.05,1010.45
IPANGUACU,4,1011.6,1011.1,1011.1
IPANGUACU,5,1010.6,1010.1,1009.85
IPANGUACU,8,1009.73333333333,1010.43333333333,1011.33333333333
IPANGUACU,10,1008.525,1011.05,1011.275
IPANGUACU,11,1010.2,1009.37,1007.8
IPANGUACU,12,1010.85,1010.77,1009
IPANGUACU,13,1011.54,1011.33,1010.16
IPANGUACU,14,1011.06666666667,1010.29666666667,1009.21666666667
IPANGUACU,15,1011.11,1010.3085,1009.18
IPANGUACU,16,1008.77826086957,1008.16304347826,1007.45217391304
IPANGUACU,17,1008.34814814815,1008,1007.67037037037
IPANGUACU,18,1007.31025641026,1007.66256410256,1008.07692307692
IPANGUACU,19,1007.53947368421,1008.02631578947,1009.3
IPANGUACU,20,1008.02631578947,1009.02,1009.65789473684
IPANGUACU,21,1008.46818181818,1009.58227272727,1010.45
IPANGUACU,22,1009.63636363636,1010.44545454545,1011.2
IPANGUACU,23,1008.93333333333,1010.23333333333,1010.4
MACAU,1,1012,1012,1011.8
MACAU,3,1011.8,1011.35,1010.7
MACAU,4,1009.7,1008.925,1008.55
MACAU,5,1009.4,1009.1,1008.8
MACAU,6,1009.8,1010.03,1010.45
MACAU,7,1009.2,1009.6,1010
MACAU,8,1010.6,1010.95,1011.55
MACAU,9,1009.4,1011.95,1012.9
MACAU,11,1013.4,1013.8,1013.7
MACAU,12,1012.95,1013.35,1012.525
MACAU,13,1012.075,1011.9,1011.375
MACAU,14,1011.43333333333,1011.02,1009.8
MACAU,15,1010.7,1009.86777777778,1008.97777777778
MACAU,16,1010.40588235294,1009.86705882353,1009.32941176471
MACAU,17,1008.44210526316,1007.95368421053,1007.55263157895
MACAU,18,1008.6625,1008.71625,1009.075
MACAU,19,1008.08571428571,1008.69285714286,1009.08571428571
MACAU,20,1008.15833333333,1008.45833333333,1008.81666666667
MACAU,21,1008.3,1008.875,1009.75
MACAU,22,1009.4,1010.25,1011
CALCANHAR,0,1012.14,1012.7,1012.88
CALCANHAR,1,1012.28,1012.174,1011.76
CALCANHAR,2,1012.6,1012.158,1011.56
CALCANHAR,3,1012.56666666667,1012.01166666667,1011.35
CALCANHAR,4,1011.3,1010.61666666667,1009.91666666667
CALCANHAR,5,1010.53333333333,1010.07333333333,1010.8
CALCANHAR,6,1012.5,1012.3,1012.1
CALCANHAR,7,1010.08571428571,1010.50142857143,1011.3
CALCANHAR,8,1011.01428571429,1011.4,1011.94285714286
CALCANHAR,9,1009.35,1010.05,1010.65
CALCANHAR,10,1010.625,1011.375,1012.05
CALCANHAR,11,1011.32857142857,1012.28142857143,1012.34285714286
CALCANHAR,12,1012.675,1012.9,1012.875
CALCANHAR,13,1013.05,1013.05,1012.1
CALCANHAR,14,1014.06666666667,1013.63333333333,1012.7
CALCANHAR,15,1010.53333333333,1010.2,1009.6
CALCANHAR,16,1011.15,1010.4,1009.5
CALCANHAR,17,1010.8,1010.45,1010
CALCANHAR,18,1010.975,1010.625,1011.65
CALCANHAR,19,1011.35,1011.6,1012
CALCANHAR,20,1008.06666666667,1008.71666666667,1009.2
CALCANHAR,21,1011.675,1012.25,1012.625
CALCANHAR,22,1010.88333333333,1011.88333333333,1012.25
CALCANHAR,23,1011.15,1011.75,1012.2